id;score_channel;is_show_channel;channel_id;rel_category_city_id;comment
1;10;true;2073;1;comment
2;20;true;4356;1;comment
3;30;true;4357;1;comment
4;40;true;4358;1;comment
5;50;true;4359;1;comment
6;60;true;4360;1;comment
7;70;true;4361;1;comment
8;80;true;4362;1;comment
9;90;true;4363;1;comment
10;100;true;4364;1;comment
11;110;true;4365;1;comment
12;120;true;4366;1;comment
13;130;true;4367;1;comment
14;140;true;4368;1;comment
15;10;true;4369;3;comment
16;150;true;4370;1;comment
17;160;true;4371;1;comment
18;10;true;4372;2;comment
19;10;true;4373;3;comment
20;20;true;4374;3;comment
21;170;true;4375;1;comment
22;30;true;4376;3;comment
23;40;true;4377;3;comment
24;10;true;4377;18;comment
25;10;true;4377;14;comment
26;10;true;4377;15;comment
27;10;true;4377;16;comment
28;50;true;4378;3;comment
29;180;true;4379;1;comment
30;60;true;4380;3;comment
31;190;true;4381;1;comment
32;200;true;4382;1;comment
33;10;true;4383;13;comment
34;10;true;4384;17;comment
35;10;true;4385;4;comment
36;20;true;4386;2;comment
37;210;true;4386;1;comment
38;220;true;4387;1;comment
39;230;true;4388;1;comment
40;240;true;4389;1;comment
41;20;true;4389;17;comment
42;250;true;4390;1;comment
43;260;true;4391;1;comment
44;30;true;4391;2;comment
45;270;true;4392;1;comment
46;20;true;4393;13;comment
47;280;true;4394;1;comment
48;60;true;4395;3;comment
49;290;true;4395;1;comment
50;300;true;4396;1;comment
51;10;true;4397;18;comment
52;60;true;4397;3;comment
53;10;true;4398;19;comment
54;70;true;4399;3;comment
55;80;true;4400;3;comment
56;310;true;4401;1;comment
57;320;true;4402;1;comment
58;20;true;4403;18;comment
59;320;true;4404;1;comment
60;330;true;4405;1;comment
61;340;true;4406;1;comment
62;90;true;4407;3;comment
63;100;true;4408;3;comment
64;350;true;4409;1;comment
65;360;true;4410;1;comment
66;370;true;4411;1;comment
67;40;true;4412;2;comment
68;110;true;4413;3;comment
69;30;true;4413;18;comment
70;10;true;4413;8;comment
