id;tg_user_id_current;price_offer;jhi_current_date;is_winner;is_delete;date_1;date_2;long_1;string_1;boolean_1
1;72075;13872;2022-11-22T21:21:33;true;false;2022-11-22T21:27:30;2022-11-22T18:00:10;45045;Communications;true
2;1597;66669;2022-11-22T18:03:18;true;true;2022-11-23T01:06:53;2022-11-23T01:16:42;75570;Toys Rican Berkshire;false
3;10331;93952;2022-11-22T20:49:46;true;true;2022-11-23T12:06:24;2022-11-22T21:00:14;5584;cutting-edge Buckinghamshire;true
4;16931;39382;2022-11-22T20:53:25;false;true;2022-11-22T22:27:08;2022-11-22T22:03:19;87836;Rapids Cotton;false
5;42997;14626;2022-11-23T06:09:46;true;false;2022-11-22T14:27:13;2022-11-22T20:17:37;9213;uniform Rhode;false
6;23533;13858;2022-11-22T17:56:16;true;true;2022-11-23T08:43:13;2022-11-23T10:47:10;32943;XML;false
7;65621;27946;2022-11-23T05:05:45;false;false;2022-11-23T03:19:25;2022-11-23T12:38:59;59462;reintermediate;true
8;74889;4850;2022-11-22T21:36:48;true;true;2022-11-22T16:07:59;2022-11-22T14:38:28;70040;Sausages convergence Cambridgeshire;true
9;71400;26284;2022-11-23T02:37:22;true;false;2022-11-23T03:41:50;2022-11-23T02:56:28;52070;Team-oriented;false
10;22051;16237;2022-11-22T17:58:38;true;false;2022-11-22T14:26:48;2022-11-22T17:38:21;28644;responsive;true
