id;tg_user_id_current;price_offer;jhi_current_date;is_winner;is_delete;date_1;date_2;long_1;string_1;boolean_1
1;31346;10393;2022-11-23T11:42:40;true;true;2022-11-22T22:09:02;2022-11-23T00:29:29;89935;d'Ivoire;true
2;24312;24217;2022-11-23T04:36:55;false;false;2022-11-22T19:59:25;2022-11-22T22:06:42;71840;generate Road Kansas;true
3;89489;30283;2022-11-23T02:43:57;false;false;2022-11-22T18:05:42;2022-11-23T07:28:23;91344;Mouse Internal;true
4;26674;47651;2022-11-22T15:50:05;false;true;2022-11-23T10:18:34;2022-11-22T18:12:55;16874;instruction Beauty Designer;true
5;67149;10095;2022-11-23T04:46:07;true;true;2022-11-23T11:34:27;2022-11-22T20:32:33;56619;JBOD facilitate compressing;true
6;46719;74430;2022-11-23T01:58:41;true;false;2022-11-22T13:24:12;2022-11-22T23:18:13;78145;indigo Engineer;false
7;69889;73558;2022-11-23T05:25:53;false;false;2022-11-23T07:28:13;2022-11-23T01:31:13;40449;Frozen virtual;true
8;17158;40969;2022-11-23T10:36:58;true;true;2022-11-23T13:14:35;2022-11-23T10:41:29;65546;directional AI hack;false
9;60241;37790;2022-11-23T00:45:31;false;true;2022-11-22T13:47:19;2022-11-23T07:08:18;40977;Manager;true
10;62777;65327;2022-11-22T20:18:18;false;false;2022-11-23T00:25:53;2022-11-23T10:09:50;30535;withdrawal Unbranded Dakota;true
