id;chat_id;date_log;inline_search;page_search;page_number;id_city
1;1;2022-10-25T15:46:23;true;false;null;null
2;2;2022-11-25T11:20:01;true;false;null;null
3;3;2022-12-25T04:29:09;true;false;null;null
4;4;2023-01-25T12:19:21;true;false;null;null
5;1;2023-02-25T16:07:06;true;false;null;null
6;2;2023-03-25T09:11:34;true;false;null;null
7;3;2023-10-25T05:48:42;false;true;1;null
8;4;2023-04-25T13:27:18;false;true;1;null
9;1;2023-05-25T13:27:18;false;true;2;null
10;2;2023-06-25T02:42:33;false;true;1;null
11;3;2023-07-25T08:04:17;false;true;2;null
12;4;2023-08-25T08:04:17;false;true;3;null
13;1;2023-09-25T15:46:23;false;true;1;1
14;2;2023-10-26T11:20:01;false;true;1;1
15;3;2023-10-27T04:29:09;false;true;2;1
16;4;2023-10-28T12:19:21;false;true;1;1
17;1;2023-10-29T16:07:06;false;true;2;1
18;2;2023-10-30T09:11:34;false;true;3;1
19;3;2023-10-25T05:48:42;false;true;1;1
20;4;2023-11-01T13:27:18;false;true;1;1
21;1;2023-11-02T13:27:18;false;true;2;1
22;2;2023-11-03T02:42:33;false;true;1;1
23;3;2023-11-04T08:04:17;false;true;2;1
24;4;2023-11-05T08:04:17;false;true;3;1
