id;score_channel;is_show_channel;channel_id;category_id;comment
1;30;true;1;55;comment
2;20;true;2;55;comment
3;70;true;3;55;comment
4;10;true;4;55;comment
5;200;true;5;55;comment
6;210;true;6;55;comment
7;220;true;7;55;comment
8;230;true;8;55;comment
9;240;true;9;55;comment
10;250;true;10;55;comment
11;260;true;11;55;comment
12;190;true;12;55;comment
13;180;true;13;55;comment
14;100;true;14;55;comment
15;110;true;15;55;comment
16;160;true;16;55;comment
17;120;true;17;55;comment
18;130;true;18;55;comment
19;90;true;19;55;comment
20;40;true;20;55;comment
21;80;true;21;55;comment
22;140;true;22;55;comment
23;150;true;23;55;comment
24;50;true;24;55;comment
25;35;true;25;55;comment
26;60;true;26;55;comment
27;45;true;27;55;comment
28;55;true;28;55;comment
29;65;true;29;55;comment
30;85;true;30;55;comment
31;105;true;31;55;comment
32;15;true;32;55;comment
33;11;true;33;55;comment
34;10;true;34;54;comment
35;20;true;35;54;comment
36;30;true;36;54;comment
37;100;true;37;54;comment
38;200;true;38;54;comment
39;300;true;39;54;comment
40;25;true;40;54;comment
41;35;true;41;54;comment
42;350;true;42;54;comment
43;90;true;43;54;comment
44;80;true;44;54;comment
45;70;true;45;54;comment
46;210;true;46;54;comment
47;80;true;47;54;comment
48;110;true;48;54;comment
49;120;true;49;54;comment
50;130;true;50;54;comment
51;140;true;51;54;comment
52;230;true;52;54;comment
53;150;true;53;54;comment
54;210;true;54;54;comment
55;40;true;55;54;comment
56;160;true;56;54;comment
57;190;true;57;54;comment
58;180;true;58;54;comment
59;170;true;59;54;comment
60;220;true;60;54;comment
61;240;true;61;54;comment
62;280;true;62;54;comment
63;290;true;63;54;comment
64;295;true;64;54;comment
65;95;true;65;54;comment
66;145;true;66;54;comment
67;310;true;67;54;comment
68;320;true;68;54;comment
69;245;true;69;54;comment
70;330;true;70;54;comment
71;246;true;71;54;comment
72;450;true;72;54;comment
73;305;true;73;54;comment
74;340;true;74;54;comment
76;203;true;76;54;comment
77;199;true;77;54;comment
78;165;true;78;54;comment
79;204;true;79;54;comment
80;150;true;80;96;comment
81;150;true;80;66;comment
82;150;true;80;19;comment
83;55;true;81;55;comment
84;150;true;82;98;comment
85;150;true;82;65;comment
86;30;true;83;65;comment
87;30;true;83;98;comment
88;150;true;84;65;comment
89;150;true;84;98;comment
90;50;true;85;65;comment
91;50;true;85;98;comment
92;100;true;86;98;comment
93;50;true;87;65;comment
94;40;true;87;98;comment
95;160;true;88;65;comment
96;160;true;88;98;comment
97;130;true;89;65;comment
98;130;true;89;98;comment
99;170;true;90;65;comment
100;170;true;90;98;comment
101;120;true;91;65;comment
102;120;true;91;98;comment
103;40;true;92;65;comment
104;40;true;92;98;comment
105;100;true;93;65;comment
106;100;true;93;98;comment
107;40;true;94;65;comment
108;40;true;94;98;comment
109;165;true;95;65;comment
110;165;true;95;98;comment
111;100;true;96;65;comment
112;100;true;96;98;comment
800;60;true;45;48;comment
810;50;true;55;48;comment
820;55;true;65;48;comment
1000;150;true;75;96;comment
1350;150;true;75;66;comment
1550;150;true;75;19;comment
2000;200;true;2000;48;comment
2001;10;true;2001;48;comment
2002;20;true;2002;48;comment
2003;60;true;2003;48;comment
2004;40;true;2004;48;comment
2005;50;true;2005;48;comment
2006;70;true;2006;48;comment
2007;150;true;2007;48;comment
2008;80;true;2008;48;comment
2009;30;true;2009;48;comment
2010;90;true;2010;48;comment
2011;110;true;2011;48;comment
2012;100;true;2012;48;comment
2013;140;true;2013;48;comment
2014;120;true;2014;48;comment
2015;150;true;2015;48;comment
2016;130;true;2016;48;comment
2017;170;true;2017;48;comment
2018;160;true;2018;48;comment
2019;180;true;2019;48;comment
2020;190;true;2020;48;comment
2021;210;true;2021;48;comment
2022;220;true;2022;48;comment
2023;230;true;2023;48;comment
2024;240;true;2024;48;comment
2025;250;true;2025;48;comment
2026;260;true;2026;48;comment
2027;270;true;2027;48;comment
2028;280;true;2028;48;comment
2029;300;true;2029;48;comment
2030;290;true;2030;48;comment
2031;320;true;2031;48;comment
2032;330;true;2032;48;comment
2033;310;true;2033;48;comment
2034;340;true;2034;48;comment
2035;350;true;2035;48;comment
2036;360;true;2036;48;comment
2037;370;true;2037;48;comment
2038;380;true;2038;48;comment
2039;390;true;2039;48;comment
2040;400;true;2040;48;comment
2041;400;true;2040;48;comment
2042;350;true;2035;48;comment
