id;chat_id;date_log;inline_search;page_search;page_number;id_city
1;94326;2023-10-25T15:46:23;true;false;null;null
2;35160;2023-10-25T11:20:01;true;false;null;null
3;53640;2023-10-25T04:29:09;true;false;null;null
4;42746;2023-10-25T12:19:21;true;false;null;null
5;55756;2023-10-25T16:07:06;true;false;null;null
6;47359;2023-10-25T09:11:34;true;false;null;null
7;76528;2023-10-25T05:48:42;false;true;1;null
8;61539;2023-10-25T13:27:18;false;true;1;null
9;61539;2023-10-25T13:27:18;false;true;2;null
10;49954;2023-10-25T02:42:33;false;true;1;null
11;49954;2023-10-25T08:04:17;false;true;2;null
12;49954;2023-10-25T08:04:17;false;true;3;null
13;94326;2023-10-25T15:46:23;false;true;1;1
14;35160;2023-10-25T11:20:01;false;true;1;1
15;35160;2023-10-25T04:29:09;false;true;2;1
16;42746;2023-10-25T12:19:21;false;true;1;1
17;42746;2023-10-25T16:07:06;false;true;2;1
18;42746;2023-10-25T09:11:34;false;true;3;1
19;76528;2023-10-25T05:48:42;false;true;1;1
20;61539;2023-10-25T13:27:18;false;true;1;1
21;61539;2023-10-25T13:27:18;false;true;2;1
22;49954;2023-10-25T02:42:33;false;true;1;1
23;49954;2023-10-25T08:04:17;false;true;2;1
24;49954;2023-10-25T08:04:17;false;true;3;1
