id;score_channel;is_show_channel;channel_id;rel_category_city_id;comment
1;57959;true;85;1;comment
2;97464;true;86;1;comment
3;38017;true;87;1;comment
4;34009;true;88;2;comment
5;4221;true;89;2;comment
6;50251;true;90;2;comment
7;80859;true;91;3;comment
8;28736;true;92;3;comment
9;99431;true;93;3;comment
10;6321;true;94;4;comment
11;57959;true;95;4;comment
12;97464;true;96;4;comment
13;38017;true;97;5;comment
14;34009;true;98;5;comment
15;4221;true;99;5;comment
16;50251;true;101;6;comment
17;80859;true;102;6;comment
18;28736;true;85;6;comment
19;99431;true;86;7;comment
20;6321;true;87;7;comment
21;57959;true;88;7;comment
22;97464;true;89;8;comment
23;38017;true;90;8;comment
24;34009;true;91;8;comment
25;4221;true;92;9;comment
26;50251;true;93;9;comment
27;80859;true;94;9;comment
28;28736;true;95;10;comment
29;99431;true;96;10;comment
30;6321;true;97;10;comment
31;57959;true;98;11;comment
32;97464;true;99;11;comment
33;38017;true;101;11;comment
34;34009;true;102;12;comment
35;4221;true;85;12;comment
36;50251;true;86;12;comment
37;80859;true;87;13;comment
38;28736;true;88;13;comment
39;99431;true;89;13;comment
40;6321;true;90;14;comment
41;57959;true;91;14;comment
42;97464;true;92;14;comment
43;38017;true;93;15;comment
44;34009;true;94;15;comment
45;4221;true;95;15;comment
46;50251;true;96;16;comment
47;80859;true;97;16;comment
48;28736;true;98;16;comment
49;99431;true;99;17;comment
50;6321;true;101;17;comment
51;57959;true;102;17;comment
52;97464;true;1;18;comment
53;38017;true;2;18;comment
54;34009;true;3;18;comment
55;57959;true;85;1;comment
56;97464;true;86;1;comment
57;38017;true;87;1;comment
58;57959;true;88;1;comment
59;97464;true;89;1;comment
60;38017;true;90;1;comment
61;57959;true;91;1;comment
62;97464;true;92;1;comment
63;38017;true;93;1;comment
64;57959;true;94;1;comment
65;97464;true;95;1;comment
66;38017;true;96;1;comment
67;57959;true;97;1;comment
68;97464;true;98;1;comment
69;38017;true;99;1;comment
71;97464;true;101;1;comment
72;38017;true;102;1;comment
